,AP,PN,PD,PR,CCI,CCA,TI,PD_dt64
129,US201213370077 20120209,US2012140736 A1 20120607,2012-06-07,US201213370077 20120209; JP20090217757 20090918; US201113118743 20110531; US201113149264 20110531; US201113131810 20110808; WO2010JP66211 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A1)
COMMUNICATION SYSTEM AND COMMUNICATION CONTROLLING METHOD
(B2)
Communication system and communication controlling method",2012-06-07
130,US201213369995 20120209,US2012140735 A1 20120607,2012-06-07,US201213369995 20120209; JP20090217757 20090918; US201113118743 20110531; US201113149264 20110531; US201113131810 20110808; WO2010JP66211 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,COMMUNICATION SYSTEM AND COMMUNICATION CONTROLLING METHOD,2012-06-07
131,US201213398223 20120216,US2012140729 A1 20120607,2012-06-07,US201213398223 20120216; JP20090217757 20090918; US201113118743 20110531; US201113149264 20110531; US201113131810 20110808; WO2010JP66211 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,COMMUNICATION SYSTEM AND COMMUNICATION CONTROLLING METHOD,2012-06-07
132,CN20108029555 20100917,CN102484828 A 20120530,2012-05-30,WO2010JP66211 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,Communication system and communication control method,2012-05-30
133,CN20108040154 20100917,CN102484814 A 20120530,2012-05-30,WO2010JP66215 20100917; JP20090217755 20090918; JP20090256493 20091109,H04W8/082; H04W76/22,H04W80/04,Communication system and communication control method,2012-05-30
134,CN20108024709 20100510,CN102474448 A 20120523,2012-05-23,WO2010CN72562 20100510,H04W8/082,H04W76/12; H04W84/045,"(A B)
Bypass service implementing method, network unit, network unit proxy, and system thereof",2012-05-23
135,CA20102773288 20100917,CA2773288 A1 20110324,2011-03-24,JP20090217757 20090918; CA20102764054 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A1 C)
COMMUNICATION SYSTEM AND COMMUNICATION CONTROLLING METHOD",2011-03-24
136,CA20102773158 20100917,CA2773158 A1 20110324,2011-03-24,JP20090217757 20090918; CA20102764054 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A1 C)
COMMUNICATION SYSTEM AND COMMUNICATION CONTROLLING METHOD",2011-03-24
137,CA20102773510 20100917,CA2773510 A1 20110324,2011-03-24,JP20090217755 20090918; JP20090256493 20091109; WO2010JP66215 20100917,H04W8/082; H04W76/22,H04W80/04,"(A1 C)
COMMUNICATION SYSTEM AND COMMUNICATION CONTROL METHOD",2011-03-24
138,WO2012US32172 20120404,WO2012138760 A1 20121011,2012-10-11,US201161471489P 20110404,H04W8/082,,SELECTED IP TRAFFIC OFFLOAD AND LOCAL IP ACCESS,2012-10-11
139,JP20110229642 20111019,JP2012044703 A 20120301,2012-03-01,JP20090217757 20090918; JP20110229642 20111019,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A)
COMMUNICATION SYSTEM, COMMUNICATION CONTROL METHOD AND USER DEVICE",2012-03-01
140,JP20110229637 20111019,JP2012044702 A 20120301,2012-03-01,JP20090217757 20090918; JP20110229637 20111019,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A)
COMMUNICATION SYSTEM, COMMUNICATION CONTROL METHOD AND USER DEVICE",2012-03-01
141,US201113246573 20110927,US2012076121 A1 20120329,2012-03-29,US201113246573 20110927; US20100387323P 20100928,H04W76/32,H04W84/045,"(A1)
Releasing Connections with Local GW When UE Moves Out of Residential/Enterprise Network Coverage
(B2)
Releasing connections with local GW when UE moves out of residential/enterprise network coverage",2012-03-29
142,EP20120155753 20100917,EP2498543 A2 20120912,2012-09-12,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-09-12
143,EP20120155755 20100917,EP2477441 A2 20120718,2012-07-18,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3 B1)
Communication system and communication controlling method",2012-07-18
144,EP20120155761 20100917,EP2475200 A2 20120711,2012-07-11,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-07-11
145,EP20120155349 20100917,EP2466962 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
146,EP20120155344 20100917,EP2466961 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
147,EP20120154704 20100917,EP2466960 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
148,EP20120154702 20100917,EP2466959 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
149,EP20120154454 20100917,EP2466958 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
150,EP20120154449 20100917,EP2466957 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
151,EP20120154268 20100917,EP2466956 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
152,EP20120154261 20100917,EP2466955 A2 20120620,2012-06-20,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3)
Communication system and communication controlling method",2012-06-20
153,CA20102764054 20100917,CA2764054 A1 20110324,2011-03-24,JP20090217757 20090918; WO2010JP66211 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,COMMUNICATION SYSTEM AND COMMUNICATION CONTROLLING METHOD,2011-03-24
154,CN201010230271 20100715,CN102340844 A 20120201,2012-02-01,CN201010230271 20100715,,,"Method for determining target base station in switching process, UE (User Equipment) and MME (Mobility Management Entity)",2012-02-01
155,KR20110043603 20110509,KR20110124164 A 20111116,2011-11-16,CN201010175987 20100510; CN201010234849 20100720,H04W8/082; H04W76/34,H04W28/06; H04W36/08; H04W48/02; H04W72/00; H04W76/19,"(A B1)
HANDOVER METHOD SUPPORTING TERMINAL MOBILITY",2011-11-16
156,EP20110193782 20100917,EP2487959 A2 20120815,2012-08-15,EP20100817286 20100917; JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A2 A3 B1)
Communication system and communication controlling method",2012-08-15
